incident_id,timestamp,event_type,severity,region,resolution_time_min,resolution_method
1,2024-06-12 03:01:00,cdn_timeout,low,US-West,19,restart_stream
2,2024-06-22 23:57:00,encoder_fault,low,APAC,6,restart_stream
3,2024-01-24 06:14:00,encoder_fault,medium,LATAM,27,auto_recover
4,2024-04-17 07:28:00,encoder_fault,low,US-East,99,cdn_failover
5,2024-06-27 13:21:00,audio_sync,low,EU-Central,15,restart_stream
6,2024-04-07 03:22:00,audio_sync,medium,US-East,95,manual_intervention
7,2024-05-17 03:59:00,latency_spike,low,EU-Central,108,auto_recover
8,2024-04-02 18:12:00,cdn_timeout,low,US-West,100,encoder_reset
9,2024-01-21 07:55:00,buffering,medium,APAC,83,encoder_reset
10,2024-02-11 11:22:00,stream_drop,medium,US-East,79,cdn_failover
11,2024-05-16 23:15:00,stream_drop,medium,EU-Central,120,auto_recover
12,2024-02-26 21:20:00,buffering,low,US-East,105,encoder_reset
13,2024-04-12 08:04:00,stream_drop,critical,LATAM,234,encoder_reset
14,2024-02-24 20:31:00,latency_spike,high,APAC,20,encoder_reset
15,2024-02-05 07:47:00,encoder_fault,medium,LATAM,56,auto_recover
16,2024-04-12 11:14:00,stream_drop,medium,US-East,98,restart_stream
17,2024-01-29 04:40:00,stream_drop,high,APAC,78,restart_stream
18,2024-04-08 12:38:00,latency_spike,medium,LATAM,112,restart_stream
19,2024-06-23 23:07:00,cdn_timeout,high,EU-Central,100,encoder_reset
20,2024-01-29 09:27:00,stream_drop,medium,EU-Central,66,cdn_failover
21,2024-05-09 03:55:00,cdn_timeout,low,LATAM,79,cdn_failover
22,2024-02-09 11:48:00,stream_drop,medium,LATAM,119,restart_stream
23,2024-06-02 10:31:00,buffering,low,EU-Central,114,encoder_reset
24,2024-03-02 01:15:00,encoder_fault,critical,US-East,197,manual_intervention
25,2024-01-18 17:49:00,stream_drop,low,APAC,72,cdn_failover
26,2024-03-08 16:55:00,encoder_fault,medium,US-West,120,auto_recover
27,2024-06-25 06:45:00,audio_sync,medium,EU-Central,58,auto_recover
